label,class,io,landmark
/p/pharmacy,262,1,0
/p/phone_booth,263,2,0
/p/physics_laboratory,264,1,0
/p/picnic_area,265,2,1
/p/pier,266,2,1
/p/pizzeria,267,1,0
/p/playground,268,2,1
/p/playroom,269,1,0
/p/plaza,270,2,1
/p/pond,271,2,1
/p/porch,272,2,1
/p/promenade,273,2,1
/p/pub/indoor,274,1,0
/r/racecourse,275,2,1
/r/raceway,276,2,1
/r/raft,277,2,1
/r/railroad_track,278,2,1
/r/rainforest,279,2,1
/r/reception,280,1,0
/r/recreation_room,281,1,0
/r/repair_shop,282,1,0
/r/residential_neighborhood,283,2,1
/r/restaurant,284,1,1
/r/restaurant_kitchen,285,1,0
/r/restaurant_patio,286,2,0
/r/rice_paddy,287,2,1
/r/river,288,2,1
/r/rock_arch,289,2,1
/r/roof_garden,290,2,1
/r/rope_bridge,291,2,1
/r/ruin,292,2,1
/r/runway,293,2,1
/s/sandbox,294,2,0
/s/sauna,295,1,1
/s/schoolhouse,296,2,1
/s/science_museum,297,1,1
/s/server_room,298,1,0
/s/shed,299,2,1
/s/shoe_shop,300,1,0
/s/shopfront,301,2,1
/s/shopping_mall/indoor,302,1,0
/s/shower,303,1,0
/s/ski_resort,304,2,1
/s/ski_slope,305,2,1
/s/sky,306,2,0
/s/skyscraper,307,2,1
/s/slum,308,2,1
/s/snowfield,309,2,1
/s/soccer_field,310,2,1
/s/stable,311,1,1
/s/stadium/baseball,312,2,1
/s/stadium/football,313,2,1
/s/stadium/soccer,314,2,1
/s/stage/indoor,315,1,1
/s/stage/outdoor,316,2,1
/s/staircase,317,1,0
/s/storage_room,318,1,0
/s/street,319,2,1
/s/subway_station/platform,320,1,1
/s/supermarket,321,1,0
/s/sushi_bar,322,1,0
/s/swamp,323,2,1
/s/swimming_hole,324,1,1
/s/swimming_pool/indoor,325,1,1
/s/swimming_pool/outdoor,326,2,1
/s/synagogue/outdoor,327,2,0
/t/television_room,328,1,0
/t/television_studio,329,1,0
/t/temple/asia,330,2,1
/t/throne_room,331,1,1
/t/ticket_booth,332,1,1
/t/topiary_garden,333,2,1
/t/tower,334,2,1
/t/toyshop,335,1,0
/t/train_interior,336,1,0
/t/train_station/platform,337,1,1
/t/tree_farm,338,2,1
/t/tree_house,339,2,1
/t/trench,340,2,1
/t/tundra,341,2,1
/u/underwater/ocean_deep,342,2,1
/u/utility_room,343,1,0
/v/valley,344,2,1
/v/vegetable_garden,345,2,1
/v/veterinarians_office,346,1,0
/v/viaduct,347,2,1
/v/village,348,2,1
/v/vineyard,349,2,1
/v/volcano,350,2,1
/v/volleyball_court/outdoor,351,2,1
/w/waiting_room,352,1,0
/w/water_park,353,2,1
/w/water_tower,354,2,1
/w/waterfall,355,2,1
/w/watering_hole,356,2,1
/w/wave,357,2,1
/w/wet_bar,358,1,1
/w/wheat_field,359,2,1
/w/wind_farm,360,2,1
/w/windmill,361,2,1
/y/yard,362,2,1
/y/youth_hostel,363,1,0
/z/zen_garden,364,2,1
